ID,French Word
1,chargé de clientèle
2,s’abstenir de
3,membre du conseil d’administration
4,manquer de
4,ne plus avoir de
5,PDG
6,agrafeuse
7,directeur
7,financier
8,fontaine à eau
9,employé de bureau
10,pièce jointe
11,prestataire
11,contractuel
11,entrepreneur
12,en-tête
13,chef de rayon
14,extreme
14,le plus
15,graphiste
16,code postal
17,chef de service
18,évaluation
19,DRH
20,atout
21,stagiaire
22,l’actif
22,les avoirs
23,informatician
24,clock out
24,pointer
25,demandeur d’emploi
26,qualifications
26,références
27,responsable administratif
28,renvoyer
29,assistant de direction
30,réduire les effectifs
31,salesperson
31,commerciale
31,representant
32,donner son préavis
33,agent de sécurité
34,licencier
35,chef de chantier
35,responsable de site
36,congé maladie
37,intérimaire
38,main-d’oeuvre
38,effectifs
39,classeur
40,démissionner
41,cartouche
42,préselectionner
43,publishing assistée par ordinateur
43,PAO
44,embaucher
45,partage de bureaux
46,agence d’intérim
47,tiroir
48,mutation
48,muter
49,dossier
49,chemise
50,poste vacant
51,independent
51,à son compte
51,travailleur indépendant
52,à plein-temps
53,à temps partiel
54,accord qui engage
55,parapher
56,avenant
57,heures supplémentaires
