
account manager,chargé de clientèle,,
refrain from,s’abstenir de
board member,membre du conseil d’administration
run out of,manquer de,ne plus avoir de
CEO,PDG,
stapler,agrafeuse
CFO,directeur,financier
water cooler,fontaine à eau
clerk,employé de bureau
attachment,pièce jointe
contractor,prestataire,contractuel,entrepreneur,
letterhead,en-tête
floor manager,chef de rayon
utmost,extreme,le plus
graphic designer,graphiste
zip code,code postal
head of department,chef de service
appraisal,évaluation
human resources director,DRH
asset,atout
intern ,stagiaire
assets ,l’actif,les avoirs
IT technician,informatician
clock in,clock out,pointer
job seeker,demandeur d’emploi
credentials,qualifications,références
office manager,responsable administratif
dismiss,renvoyer 
PA,assistant de direction
downsize,réduire les effectifs
sales rep,salesperson,commerciale,representant
give notice,donner son préavis
security guard,agent de sécurité
lay off,licencier
site manager,chef de chantier,responsable de site
sick leave,congé maladie
temp,intérimaire
manpower,main-d’oeuvre,effectifs
binder,classeur
to resign from,démissionner 
cartridge,cartouche
shortlist,préselectionner
desktop publishing,publishing assistée par ordinateur,PAO
take on,embaucher
hot desking,partage de bureaux
temp agency,agence d’intérim
drawer,tiroir
transfer,mutation,muter
file,dossier,chemise
vacancy,poste vacant 
freelance,independent,à son compte,travailleur indépendant
full-time,à plein-temps
part-time,à temps partiel
a binding agreement,accord qui engage
to initial,parapher
amendment,avenant
overtime,heures supplémentaires
