id,word
1,a company’s assets
2,bankruptcy
3,to go bankrupt
4,a bid
5,the highest bidder
6,a broker
7,commodity
8,equity
9,initial outlay
10,interest rate
11,investment
12,investor
13,liabilities
14,to be liable to
15,investment portfolio
16,properly
17,real estate
18,realtor/real estate agent
19,shareholder
20,to skyrocket
21,a sales slump
22,stakeholder
23,at stake
24,stock market
25,stockbroker
26,yield
27,disposable income
28,projected earnings
29,to meet expenses
30,to fall back on
31,income tax
32,net income/gross income
33,pension plan
34,petty cash
35,scarce
36,quarter
37,sound advice
38,subsidiary
39,a subsidy
40,to turn a profit
41,accounting
42,adverse
43,auditor
44,balance sheet
45,bookkeeping
46,cash flow
47,earmark
48,enclose
49,a ballpark figure
50,take-home pay
51,tax deductions
52,tax return
53,at the forefront
54,brand recognition
55,endorsement
56,flagship product
